,selling_price,km_driven,mileage,engine,max_power,seats,age,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,brand_freq
0,450000,145500,23.4,1248.0,74.0,5.0,11,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2844
1,370000,120000,21.14,1498.0,103.52,5.0,11,0,1,0,0,0,1,0,0,1,0,0,1,0,0,58
2,158000,140000,17.7,1497.0,78.0,5.0,19,0,0,0,1,0,1,0,0,1,0,0,0,0,1,300
3,225000,127000,23.0,1396.0,90.0,5.0,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1099
4,130000,120000,16.1,1298.0,88.2,5.0,18,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2844
5,440000,45000,20.14,1197.0,81.86,5.0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1099
6,96000,175000,17.3,1061.0,57.5,5.0,18,0,0,1,0,0,1,0,0,1,1,0,0,0,0,2844
7,45000,5000,16.1,796.0,37.0,4.0,24,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2844
8,350000,90000,23.59,1364.0,67.1,5.0,14,0,1,0,0,0,1,0,0,1,1,0,0,0,0,313
9,200000,169000,20.0,1399.0,68.1,5.0,12,0,1,0,0,0,1,0,0,1,1,0,0,0,0,306
10,500000,68000,19.01,1461.0,108.45,5.0,11,0,1,0,0,0,1,0,0,1,0,0,1,0,0,177
11,92000,100000,17.3,993.0,60.0,5.0,20,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2844
12,280000,140000,19.3,1248.0,73.9,5.0,16,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2844
13,200000,80000,19.465309615957125,19.465309615957125,1.0,19.465309615957125,18,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2844
14,180000,90000,18.9,1061.0,67.0,5.0,16,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2844
15,400000,40000,18.15,1198.0,82.0,5.0,9,0,0,0,1,0,1,0,0,1,1,0,0,0,0,637
16,778000,70000,24.52,1248.0,88.5,7.0,9,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2844
17,500000,53000,23.0,1396.0,90.0,5.0,13,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1099
18,150000,80000,19.7,796.0,46.3,5.0,23,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2844
19,680000,100000,22.54,1396.0,88.73,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1099
20,174000,100000,21.0,1461.0,64.1,5.0,14,0,1,0,0,0,1,0,0,1,0,0,1,0,0,637
21,950000,50000,25.5,1498.0,98.6,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0,300
22,525000,40000,26.59,1248.0,74.0,5.0,10,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2844
23,600000,72000,21.5,1248.0,88.8,5.0,13,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2844
24,500000,35000,20.3,1199.0,83.81,5.0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,550
25,575000,45000,21.4,1197.0,83.1,5.0,9,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2844
26,275000,28000,24.7,796.0,47.3,5.0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2844
27,300000,70000,18.2,1248.0,73.8,7.0,12,0,1,0,0,0,1,0,0,1,1,0,0,0,0,175
28,220000,120000,18.9,1061.0,67.0,5.0,16,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2844
29,254999,25000,16.8,796.0,34.2,8.0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2844
30,670000,70000,24.3,1248.0,88.5,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2844
31,70000,50000,19.465309615957125,19.465309615957125,1.0,19.465309615957125,22,0,0,0,1,0,1,0,0,1,0,0,1,0,0,38
32,150000,35000,14.0,796.0,35.0,5.0,13,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2844
33,730000,2388,18.6,1197.0,81.83,5.0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1099
34,650000,16200,24.3,1248.0,88.5,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2844
35,330000,10000,33.44,796.0,40.3,4.0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2844
36,366000,15000,23.95,998.0,67.1,5.0,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2844
37,1149000,5000,17.0,1591.0,121.3,5.0,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1099
38,150000,42000,20.63,1198.0,67.0,5.0,9,0,0,0,1,0,1,0,0,1,1,0,0,0,0,49
39,425000,60000,13.93,2179.0,138.03,7.0,14,0,1,0,0,0,1,0,0,1,0,0,1,0,0,550
40,150000,76000,16.1,796.0,37.0,4.0,13,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2844
41,2100000,5000,16.0,1368.0,160.77,5.0,6,0,0,0,1,0,1,0,1,0,1,0,0,0,0,20
42,925000,28900,17.8,1497.0,117.3,5.0,7,0,0,0,1,1,0,0,0,1,1,0,0,0,0,300
43,425000,86300,16.8,1497.0,116.3,5.0,12,0,0,0,1,1,0,0,0,1,1,0,0,0,0,300
44,675000,23300,18.5,1197.0,83.14,5.0,7,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2844
45,819999,32600,24.3,1248.0,88.5,5.0,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2844
46,390000,10300,23.95,998.0,67.05,5.0,7,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2844
47,1500000,77000,12.55,2982.0,168.5,7.0,11,0,1,0,0,1,0,0,0,1,1,0,0,0,0,313
48,700000,99000,12.99,2494.0,100.0,7.0,12,0,1,0,0,1,0,0,0,1,1,0,0,0,0,313
49,1450000,27800,14.8,2143.0,120.7,5.0,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,38
50,425000,49800,24.7,1498.0,98.63,5.0,10,0,1,0,0,1,0,0,0,1,1,0,0,0,0,300
51,1090000,151000,13.5,2477.0,175.56,7.0,12,0,1,0,0,1,0,0,0,1,1,0,0,0,0,47
52,600000,54700,26.0,1498.0,98.6,5.0,10,0,1,0,0,1,0,0,0,1,1,0,0,0,0,300
53,850000,64000,20.65,1462.0,103.25,5.0,7,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2844
54,525000,63000,27.3,1498.0,98.6,5.0,10,0,1,0,0,1,0,0,0,1,1,0,0,0,0,300
55,1650000,127700,11.36,2755.0,171.5,7.0,9,0,1,0,0,1,0,0,1,0,0,0,1,0,0,313
56,950000,99000,12.99,2494.0,100.6,7.0,9,0,1,0,0,1,0,0,0,1,1,0,0,0,0,313
57,1750000,33900,17.68,1968.0,174.33,5.0,12,0,1,0,0,1,0,0,1,0,0,0,1,0,0,26
