,selling_price,km_driven,mileage,engine,max_power,seats,age,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
0,450000,145500,23.4,1248.0,74.0,5.0,11,0,1,0,0,0,1,0,0,1,1,0,0,0,0
1,370000,120000,21.14,1498.0,103.52,5.0,11,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2,158000,140000,17.7,1497.0,78.0,5.0,19,0,0,0,1,0,1,0,0,1,0,0,0,0,1
3,225000,127000,23.0,1396.0,90.0,5.0,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0
4,130000,120000,16.1,1298.0,88.2,5.0,18,0,0,0,1,0,1,0,0,1,1,0,0,0,0
5,440000,45000,20.14,1197.0,81.86,5.0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,0
6,96000,175000,17.3,1061.0,57.5,5.0,18,0,0,1,0,0,1,0,0,1,1,0,0,0,0
7,45000,5000,16.1,796.0,37.0,4.0,24,0,0,0,1,0,1,0,0,1,0,0,1,0,0
8,350000,90000,23.59,1364.0,67.1,5.0,14,0,1,0,0,0,1,0,0,1,1,0,0,0,0
9,200000,169000,20.0,1399.0,68.1,5.0,12,0,1,0,0,0,1,0,0,1,1,0,0,0,0
10,500000,68000,19.01,1461.0,108.45,5.0,11,0,1,0,0,0,1,0,0,1,0,0,1,0,0
11,92000,100000,17.3,993.0,60.0,5.0,20,0,0,0,1,0,1,0,0,1,0,0,1,0,0
12,280000,140000,19.3,1248.0,73.9,5.0,16,0,1,0,0,0,1,0,0,1,0,0,1,0,0
13,200000,80000,19.465309615957125,19.465309615957125,1.0,19.465309615957125,18,0,0,0,1,0,1,0,0,1,0,0,1,0,0
14,180000,90000,18.9,1061.0,67.0,5.0,16,0,0,0,1,0,1,0,0,1,0,0,1,0,0
15,400000,40000,18.15,1198.0,82.0,5.0,9,0,0,0,1,0,1,0,0,1,1,0,0,0,0
16,778000,70000,24.52,1248.0,88.5,7.0,9,0,1,0,0,0,1,0,0,1,0,0,1,0,0
17,500000,53000,23.0,1396.0,90.0,5.0,13,0,1,0,0,0,1,0,0,1,0,0,1,0,0
18,150000,80000,19.7,796.0,46.3,5.0,23,0,0,0,1,0,1,0,0,1,0,0,1,0,0
19,680000,100000,22.54,1396.0,88.73,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
20,174000,100000,21.0,1461.0,64.1,5.0,14,0,1,0,0,0,1,0,0,1,0,0,1,0,0
21,950000,50000,25.5,1498.0,98.6,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0
22,525000,40000,26.59,1248.0,74.0,5.0,10,0,1,0,0,0,1,0,0,1,1,0,0,0,0
23,600000,72000,21.5,1248.0,88.8,5.0,13,0,1,0,0,0,1,0,0,1,1,0,0,0,0
24,500000,35000,20.3,1199.0,83.81,5.0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0
25,575000,45000,21.4,1197.0,83.1,5.0,9,0,0,0,1,0,1,0,0,1,1,0,0,0,0
26,275000,28000,24.7,796.0,47.3,5.0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,0
27,300000,70000,18.2,1248.0,73.8,7.0,12,0,1,0,0,0,1,0,0,1,1,0,0,0,0
28,220000,120000,18.9,1061.0,67.0,5.0,16,0,0,0,1,0,1,0,0,1,1,0,0,0,0
29,254999,25000,16.8,796.0,34.2,8.0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0
30,670000,70000,24.3,1248.0,88.5,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0
31,70000,50000,19.465309615957125,19.465309615957125,1.0,19.465309615957125,22,0,0,0,1,0,1,0,0,1,0,0,1,0,0
32,150000,35000,14.0,796.0,35.0,5.0,13,0,0,0,1,0,1,0,0,1,0,0,1,0,0
33,730000,2388,18.6,1197.0,81.83,5.0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0
34,650000,16200,24.3,1248.0,88.5,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0
35,330000,10000,33.44,796.0,40.3,4.0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0
36,366000,15000,23.95,998.0,67.1,5.0,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0
37,1149000,5000,17.0,1591.0,121.3,5.0,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0
38,150000,42000,20.63,1198.0,67.0,5.0,9,0,0,0,1,0,1,0,0,1,1,0,0,0,0
39,425000,60000,13.93,2179.0,138.03,7.0,14,0,1,0,0,0,1,0,0,1,0,0,1,0,0
40,150000,76000,16.1,796.0,37.0,4.0,13,0,0,0,1,0,1,0,0,1,1,0,0,0,0
41,2100000,5000,16.0,1368.0,160.77,5.0,6,0,0,0,1,0,1,0,1,0,1,0,0,0,0
42,925000,28900,17.8,1497.0,117.3,5.0,7,0,0,0,1,1,0,0,0,1,1,0,0,0,0
43,425000,86300,16.8,1497.0,116.3,5.0,12,0,0,0,1,1,0,0,0,1,1,0,0,0,0
44,675000,23300,18.5,1197.0,83.14,5.0,7,0,0,0,1,1,0,0,1,0,1,0,0,0,0
45,819999,32600,24.3,1248.0,88.5,5.0,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0
46,390000,10300,23.95,998.0,67.05,5.0,7,0,0,0,1,1,0,0,0,1,1,0,0,0,0
47,1500000,77000,12.55,2982.0,168.5,7.0,11,0,1,0,0,1,0,0,0,1,1,0,0,0,0
48,700000,99000,12.99,2494.0,100.0,7.0,12,0,1,0,0,1,0,0,0,1,1,0,0,0,0
49,1450000,27800,14.8,2143.0,120.7,5.0,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0
50,425000,49800,24.7,1498.0,98.63,5.0,10,0,1,0,0,1,0,0,0,1,1,0,0,0,0
51,1090000,151000,13.5,2477.0,175.56,7.0,12,0,1,0,0,1,0,0,0,1,1,0,0,0,0
52,600000,54700,26.0,1498.0,98.6,5.0,10,0,1,0,0,1,0,0,0,1,1,0,0,0,0
53,850000,64000,20.65,1462.0,103.25,5.0,7,0,0,0,1,1,0,0,0,1,1,0,0,0,0
54,525000,63000,27.3,1498.0,98.6,5.0,10,0,1,0,0,1,0,0,0,1,1,0,0,0,0
55,1650000,127700,11.36,2755.0,171.5,7.0,9,0,1,0,0,1,0,0,1,0,0,0,1,0,0
56,950000,99000,12.99,2494.0,100.6,7.0,9,0,1,0,0,1,0,0,0,1,1,0,0,0,0
57,1750000,33900,17.68,1968.0,174.33,5.0,12,0,1,0,0,1,0,0,1,0,0,0,1,0,0
58,1590000,25000,14.28,1798.0,138.03,5.0,7,0,0,0,1,1,0,0,1,0,1,0,0,0,0
59,1689999,50000,18.53,1968.0,187.74,5.0,12,0,1,0,0,1,0,0,1,0,1,0,0,0,0
60,1425000,59000,14.84,2143.0,170.0,5.0,12,0,1,0,0,1,0,0,1,0,1,0,0,0,0
61,265000,120000,21.12,1248.0,88.8,5.0,14,0,1,0,0,0,1,0,0,1,1,0,0,0,0
62,190000,110000,20.36,1197.0,78.9,5.0,14,0,0,0,1,0,1,0,0,1,0,0,0,0,1
63,425000,60000,21.27,1396.0,88.76,5.0,12,0,1,0,0,0,1,0,0,1,1,0,0,0,0
64,630000,147000,26.59,1248.0,74.0,5.0,10,0,1,0,0,0,1,0,0,1,0,0,1,0,0
65,600000,25000,18.16,1196.0,86.8,5.0,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1
66,650000,30000,21.4,1197.0,83.1,5.0,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0
67,540000,40000,22.0,1498.0,108.495,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
68,630000,135000,25.1,1498.0,98.6,5.0,10,0,1,0,0,0,1,0,0,1,1,0,0,0,0
69,448000,30000,20.51,998.0,67.0,5.0,7,0,0,0,1,0,1,0,1,0,1,0,0,0,0
70,500000,80000,21.66,1498.0,108.62,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0
71,745000,70000,24.3,1248.0,88.5,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
72,1025000,9850,24.3,1248.0,88.5,5.0,6,0,1,0,0,0,1,0,1,0,1,0,0,0,0
73,235000,60000,20.36,1197.0,78.9,5.0,14,0,0,0,1,0,1,0,0,1,0,0,1,0,0
74,630000,70000,25.2,1248.0,74.0,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
75,1700000,78000,12.55,2982.0,168.5,7.0,10,0,1,0,0,0,1,0,0,1,0,0,1,0,0
76,450000,120000,22.9,1248.0,74.0,5.0,12,0,1,0,0,0,1,0,0,1,0,0,1,0,0
77,450000,120000,16.02,1373.0,93.7,7.0,13,0,0,0,1,0,1,0,0,1,0,0,1,0,0
78,50000,70000,19.465309615957125,19.465309615957125,1.0,19.465309615957125,22,0,1,0,0,0,1,0,0,1,1,0,0,0,0
79,450000,170000,20.54,1598.0,103.6,5.0,12,0,1,0,0,0,1,0,0,1,1,0,0,0,0
80,1200000,140000,12.99,2494.0,100.6,8.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
81,610000,90000,22.77,1498.0,98.59,5.0,10,0,1,0,0,0,1,0,0,1,1,0,0,0,0
82,2500000,30000,15.71,1998.0,189.0,5.0,9,0,0,0,1,0,1,0,1,0,0,0,1,0,0
83,484999,10000,23.1,998.0,67.04,5.0,8,0,0,0,1,1,0,0,0,1,1,0,0,0,0
84,275000,49000,19.02,1198.0,67.05,5.0,9,0,0,0,1,1,0,0,0,1,1,0,0,0,0
85,315000,32000,24.7,796.0,47.3,5.0,9,0,0,0,1,1,0,0,0,1,1,0,0,0,0
86,275000,38000,24.7,796.0,47.3,5.0,9,0,0,0,1,1,0,0,0,1,1,0,0,0,0
87,475000,78000,19.465309615957125,19.465309615957125,1.0,19.465309615957125,10,0,1,0,0,1,0,0,0,1,1,0,0,0,0
88,290000,28000,19.81,1086.0,68.05,5.0,13,0,0,0,1,1,0,0,0,1,1,0,0,0,0
89,280000,32000,14.0,796.0,35.0,5.0,8,0,0,0,1,1,0,0,0,1,1,0,0,0,0
90,225000,44000,26.2,998.0,58.2,5.0,15,0,0,1,0,1,0,0,0,1,1,0,0,0,0
91,455000,42000,16.47,1198.0,74.0,5.0,10,0,0,0,1,1,0,0,0,1,1,0,0,0,0
92,351000,45000,19.81,1086.0,68.05,5.0,10,0,0,0,1,1,0,0,0,1,0,0,1,0,0
93,535000,12000,15.04,1598.0,103.6,5.0,13,0,0,0,1,1,0,0,0,1,0,0,1,0,0
94,175000,55500,18.2,998.0,67.1,5.0,16,0,0,0,1,1,0,0,0,1,1,0,0,0,0
95,525000,61500,18.5,1197.0,82.85,5.0,12,0,0,0,1,1,0,0,0,1,1,0,0,0,0
96,600000,150000,26.59,1248.0,74.0,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
97,565000,72000,19.1,1197.0,82.0,5.0,9,0,0,0,1,1,0,0,1,0,1,0,0,0,0
98,120000,68000,19.7,796.0,46.3,5.0,17,0,0,0,1,1,0,0,0,1,0,0,0,0,1
99,725000,110000,22.54,1396.0,88.73,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0
100,185000,77000,21.79,998.0,67.05,5.0,16,0,0,0,1,1,0,0,0,1,0,0,1,0,0
101,200000,100000,18.8,1248.0,90.0,5.0,15,0,1,0,0,0,1,0,0,1,0,0,1,0,0
102,615000,10000,21.21,1197.0,81.8,5.0,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0
103,270000,100000,15.37,1196.0,73.0,7.0,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1
104,610000,35000,21.4,1197.0,83.1,5.0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0
105,625000,70000,11.79,2179.0,120.0,8.0,11,0,1,0,0,0,1,0,1,0,0,0,1,0,0
106,400000,5000,19.0,1194.0,94.68,5.0,5,0,0,0,1,0,1,0,0,1,0,0,1,0,0
107,866000,37800,17.0,1591.0,121.3,5.0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,0
108,700000,114000,14.3,1798.0,160.0,5.0,15,0,0,0,1,0,1,0,0,1,1,0,0,0,0
109,300000,48000,15.8,1172.0,65.0,5.0,15,0,0,0,1,0,1,0,0,1,1,0,0,0,0
110,1700000,32000,15.1,2179.0,155.0,7.0,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0
111,375000,100000,19.09,1405.0,69.01,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
112,522000,150000,22.32,1582.0,126.32,5.0,12,0,1,0,0,0,1,0,0,1,0,0,1,0,0
113,451999,69000,21.9,1396.0,88.76,5.0,12,0,1,0,0,0,1,0,0,1,1,0,0,0,0
114,300000,100000,14.53,1798.0,138.1,5.0,16,0,0,0,1,0,1,0,0,1,0,0,1,0,0
115,475000,13000,21.63,998.0,67.04,5.0,5,0,0,0,1,0,1,0,0,1,1,0,0,0,0
116,780000,60000,24.3,1248.0,88.5,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
117,595000,40000,20.85,1197.0,83.14,5.0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,0
118,440000,35000,20.51,998.0,67.04,5.0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,0
119,300000,120000,19.465309615957125,19.465309615957125,1.0,19.465309615957125,15,0,1,0,0,0,1,0,0,1,0,0,1,0,0
120,400000,70000,20.45,1461.0,83.8,5.0,11,0,1,0,0,0,1,0,0,1,0,0,0,0,1
121,1140000,50000,19.67,1582.0,126.2,5.0,9,0,1,0,0,0,1,0,0,1,1,0,0,0,0
122,850000,76139,23.0,1498.0,98.96,5.0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0
123,370000,175000,19.3,1248.0,73.9,5.0,13,0,1,0,0,0,1,0,0,1,0,1,0,0,0
124,350000,25000,23.01,999.0,67.0,5.0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0
125,360000,40000,23.1,998.0,67.04,5.0,10,0,0,0,1,0,1,0,0,1,0,0,1,0,0
126,105000,65000,19.7,796.0,46.3,5.0,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0
127,625000,90000,20.77,1248.0,88.76,7.0,12,0,1,0,0,0,1,0,0,1,0,0,1,0,0
128,135000,80000,17.92,1086.0,62.1,5.0,16,0,0,0,1,0,1,0,0,1,0,0,1,0,0
129,700000,110000,20.77,1248.0,88.76,7.0,10,0,1,0,0,0,1,0,0,1,0,0,1,0,0
130,690000,1303,17.8,1198.0,86.7,5.0,6,0,0,0,1,1,0,0,0,1,1,0,0,0,0
131,3975000,31800,17.01,1968.0,188.0,5.0,7,0,1,0,0,1,0,0,1,0,1,0,0,0,0
132,5150000,20000,22.37,2487.0,214.56,5.0,6,0,0,0,1,1,0,0,1,0,1,0,0,0,0
133,3200000,45000,19.33,1999.0,177.0,5.0,8,0,1,0,0,1,0,0,1,0,1,0,0,0,0
134,4100000,17000,9.5,3604.0,280.0,5.0,8,0,0,0,1,0,1,0,1,0,1,0,0,0,0
135,4500000,21000,12.83,1999.0,148.31,7.0,6,0,1,0,0,1,0,0,1,0,1,0,0,0,0
136,6000000,37000,13.5,2987.0,254.79,5.0,8,0,1,0,0,1,0,0,1,0,1,0,0,0,0
137,3790000,29500,22.48,1995.0,187.74,5.0,7,0,1,0,0,1,0,0,1,0,1,0,0,0,0
138,2150000,27000,19.465309615957125,19.465309615957125,1.0,19.465309615957125,8,0,1,0,0,1,0,0,1,0,1,0,0,0,0
139,5800000,7500,16.78,1995.0,190.0,5.0,6,0,1,0,0,1,0,0,1,0,1,0,0,0,0
